sim_num;num_epochs;batch_size;disc_epochs;gen_epochs;loss_penalty;disc_bn_decay;gen_bn_decay;disc_leaky_param;noise_size;critic;gen_l2_regularization;disc_l2_regularization;gen_learning_rate;disc_learning_rate;data_size;generator_hidden_sizes;discriminator_hidden_sizes;output_scaler;output_discriminator;output_generator;disc_optim_save_loc;gen_optim_save_loc;dev_save_path;loss_save_path;output_rundata;model_started;lowest_dev;lowest_mae;lowest_rmse;lowest_epoch
23;15000;500;2;2;5;0;0.01;0.1;100;FALSE;0;0;0.001;0.001;60;100,100,100;100,1;./data/scalers/scaler23.pkl;./data/discriminators/discriminator_23;./data/generators/generator_23;./data/disc_optim/disc_optim_23;./data/gen_optim/gen_optim_23;./data/devs/dev_23;./data/losses/loss_23;./data/rundata/rundatum23;;;;;
22;15000;500;2;2;5;0;0.5;0.1;100;FALSE;0;0;0.001;0.001;60;100,100,100;100,1;./data/scalers/scaler22.pkl;./data/discriminators/discriminator_22;./data/generators/generator_22;./data/disc_optim/disc_optim_22;./data/gen_optim/gen_optim_22;./data/devs/dev_22;./data/losses/loss_22;./data/rundata/rundatum22;;;;;
21;15000;500;2;2;5;0;0.75;0.1;100;FALSE;0;0;0.001;0.001;60;100,100,100;100,1;./data/scalers/scaler21.pkl;./data/discriminators/discriminator_21;./data/generators/generator_21;./data/disc_optim/disc_optim_21;./data/gen_optim/gen_optim_21;./data/devs/dev_21;./data/losses/loss_21;./data/rundata/rundatum21;;;;;
20;15000;500;2;2;5;0;0.5;0.1;100;FALSE;0;0.01;0.001;0.001;60;100,100,100;100,1;./data/scalers/scaler20.pkl;./data/discriminators/discriminator_20;./data/generators/generator_20;./data/disc_optim/disc_optim_20;./data/gen_optim/gen_optim_20;./data/devs/dev_20;./data/losses/loss_20;./data/rundata/rundatum20;;;;;
19;15000;500;2;2;5;0;0;0.1;100;FALSE;0;0;0.001;0.001;60;100,100,100;100,1;./data/scalers/scaler19.pkl;./data/discriminators/discriminator_19;./data/generators/generator_19;./data/disc_optim/disc_optim_19;./data/gen_optim/gen_optim_19;./data/devs/dev_19;./data/losses/loss_19;./data/rundata/rundatum19;;;;;
14;15000;100;2;1;10;0.01;0.9;0.2;25;FALSE;0;0;0.001;0.001;60;100,100,100;100;./data/scalers/scaler14.pkl;./data/discriminators/discriminator_14;./data/generators/generator_14;./data/disc_optim/disc_optim_14;./data/gen_optim/gen_optim_14;./data/devs/dev_14;./data/losses/loss_14;./data/rundata/rundatum14;;;;;
13;15000;100;2;1;10;0;0.9;0.2;75;TRUE;0;0;0.001;0.001;60;100,100,100;100;./data/scalers/scaler13.pkl;./data/discriminators/discriminator_13;./data/generators/generator_13;./data/disc_optim/disc_optim_13;./data/gen_optim/gen_optim_13;./data/devs/dev_13;./data/losses/loss_13;./data/rundata/rundatum13;;;;;
12;15000;100;2;1;10;0;0.9;0.2;50;TRUE;0;0;0.001;0.001;60;100,100,100;100;./data/scalers/scaler12.pkl;./data/discriminators/discriminator_12;./data/generators/generator_12;./data/disc_optim/disc_optim_12;./data/gen_optim/gen_optim_12;./data/devs/dev_12;./data/losses/loss_12;./data/rundata/rundatum12;;;;;
11;15000;100;2;1;10;0;0.9;0.2;25;TRUE;0;0;0.001;0.001;60;100,100,100;100;./data/scalers/scaler11.pkl;./data/discriminators/discriminator_11;./data/generators/generator_11;./data/disc_optim/disc_optim_11;./data/gen_optim/gen_optim_11;./data/devs/dev_11;./data/losses/loss_11;./data/rundata/rundatum11;;;;;
10;15000;100;2;1;10;0;0.99;0.2;100;TRUE;0;0;0.001;0.001;60;100,1;256,128;./data/scalers/scaler10.pkl;./data/discriminators/discriminator_10;./data/generators/generator_10;./data/disc_optim/disc_optim_10;./data/gen_optim/gen_optim_10;./data/devs/dev_10;./data/losses/loss_10;./data/rundata/rundatum10;;;;;
9;15000;100;2;1;10;0;0.99;0.2;75;TRUE;0;0;0.001;0.001;60;100,1;256,128;./data/scalers/scaler9.pkl;./data/discriminators/discriminator_9;./data/generators/generator_9;./data/disc_optim/disc_optim_9;./data/gen_optim/gen_optim_9;./data/devs/dev_9;./data/losses/loss_9;./data/rundata/rundatum9;;;;;
8;15000;100;2;1;10;0;0.99;0.2;50;TRUE;0;0;0.001;0.001;60;100,1;256,128;./data/scalers/scaler8.pkl;./data/discriminators/discriminator_8;./data/generators/generator_8;./data/disc_optim/disc_optim_8;./data/gen_optim/gen_optim_8;./data/devs/dev_8;./data/losses/loss_8;./data/rundata/rundatum8;;;;;
7;15000;100;2;1;10;0;0.99;0.2;25;TRUE;0;0;0.001;0.001;60;100,1;256,128;./data/scalers/scaler7.pkl;./data/discriminators/discriminator_7;./data/generators/generator_7;./data/disc_optim/disc_optim_7;./data/gen_optim/gen_optim_7;./data/devs/dev_7;./data/losses/loss_7;./data/rundata/rundatum7;;;;;
6;15000;100;2;1;10;0;0.99;0.2;10;TRUE;0;0;0.001;0.001;60;100,1;256,128;./data/scalers/scaler6.pkl;./data/discriminators/discriminator_6;./data/generators/generator_6;./data/disc_optim/disc_optim_6;./data/gen_optim/gen_optim_6;./data/devs/dev_6;./data/losses/loss_6;./data/rundata/rundatum6;;;;;
5;15000;100;2;1;10;0.01;0.9;0.2;100;FALSE;0;0;0.001;0.001;60;100,100,100;100;./data/scalers/scaler5.pkl;./data/discriminators/discriminator_5;./data/generators/generator_5;./data/disc_optim/disc_optim_5;./data/gen_optim/gen_optim_5;./data/devs/dev_5;./data/losses/loss_5;./data/rundata/rundatum5;;;;;
4;15000;100;2;1;10;0.01;0.9;0.2;75;FALSE;0;0;0.001;0.001;60;100,100,100;100;./data/scalers/scaler4.pkl;./data/discriminators/discriminator_4;./data/generators/generator_4;./data/disc_optim/disc_optim_4;./data/gen_optim/gen_optim_4;./data/devs/dev_4;./data/losses/loss_4;./data/rundata/rundatum4;;;;;
3;15000;100;2;1;10;0.01;0.9;0.2;50;FALSE;0;0;0.001;0.001;60;100,100,100;100;./data/scalers/scaler3.pkl;./data/discriminators/discriminator_3;./data/generators/generator_3;./data/disc_optim/disc_optim_3;./data/gen_optim/gen_optim_3;./data/devs/dev_3;./data/losses/loss_3;./data/rundata/rundatum3;;;;;
1;15000;100;2;1;10;0.01;0.9;0.2;10;FALSE;0;0;0.001;0.001;60;100,100,100;100;./data/scalers/scaler1.pkl;./data/discriminators/discriminator_1;./data/generators/generator_1;./data/disc_optim/disc_optim_1;./data/gen_optim/gen_optim_1;./data/devs/dev_1;./data/losses/loss_1;./data/rundata/rundatum1;;;;;